Code,Q-Rank,Citation (APA),Title,Status,Location
P001,Not Verified,Foshay et al. (2015),A Comprehensive Diagnostic Framework for BIA Effectiveness,Completed,Y_paper1/analysis/paper-summaries/
P002,Not Verified,Bhuiyan (2026),PhD Thesis: Cybersecurity Readiness in Higher Education,Completed,Y_paper1/analysis/paper-summaries/
P003,Q1,TBD (2026),Building trust in workplace information systems,Completed,Y_paper1/analysis/paper-summaries/
P004,Q1,TBD (2026),Decision-Making in Complex Systems Using AI-DSS,Completed,Y_paper1/analysis/paper-summaries/
P005,Q1,TBD (2026),Organizational cyber resilience and incident outcomes,Completed,Y_paper1/analysis/paper-summaries/
P006,Q1,TBD (2025),AI in the workplace HRM framework,Completed,Y_paper1/analysis/paper-summaries/
P007,Q2,TBD (2025),Older Adults Cybersecurity Practices,Completed,Y_paper1/analysis/paper-summaries/
P008,Q1,TBD (2025),Integrated Model for ISP Compliance,Completed,Y_paper1/analysis/paper-summaries/
P009,Not Verified,TBD (2023),Critical success factors for SETA effectiveness,Completed,Y_paper1/analysis/paper-summaries/
P010,Q1,TBD (2024),The Role of Institutional and Self in Trust in AI,Completed,Y_paper1/analysis/paper-summaries/
P011,Q1,TBD (2024),Trust in the AI Creator vs. Trust in AI Systems,Completed,Y_paper1/analysis/paper-summaries/
P012,Not Verified,Smith & Jones (2025),Impact of Cybersecurity Fatigue on Academic Staff Productivity,Completed,Y_paper1/analysis/paper-summaries/
P013,Q1,Alyami et al. (2023),The critical success factors for SETA program effectiveness,Completed,Y_paper1/analysis/paper-summaries/
P014,Q1,Bansal & Axelton (2024),She’s worth IT: challenges for female CIOs,Completed,Y_paper1/analysis/paper-summaries/
